TIMESTAMP, I_RIP_X, I_RIP_Y, S_RIP_X, S_RIP_Y, S_RIP_Z, I_RCP_X, I_RCP_Y, S_RCP_X, S_RCP_Y, S_RCP_Z, S_RCO_A, S_RCO_B, S_RCO_G, S_RC_LRW_V, S_RC_RRW_V, S_RC_RL_V, S_RC_STEER, S_RC_TORQUE, S_RT_STEER, S_RT_MAX_TORQUE, S_RT_VEL
0, 0.33524408723124, -0.31837465691501, -1.6476, 1.8162, 0.8, 0.33524408723124, -0.31837465691501, -1.6476, 1.8162, 0.8, -0, 0, 2.7925, 0, 0, 0, 0, 0, 0, 60, 10
0.05, 0.33524408723124, -0.31837465691501, -1.6476, 1.8162, 0.8, 0.33527009875031, -0.3183027258925, -1.6473, 1.817, 0.7853, -0.0085, 0.003, 2.7925, 7.2329, 7.2385, 7.2357, 0, -9.0733, 0, 60, 10
0.1, 0.33524408723124, -0.31837465691501, -1.6476, 1.8162, 0.8, 0.3352734366171, -0.31829297455401, -1.6473, 1.8171, 0.747, -0.0097, 0.0035, 2.7925, 12.78, 12.8428, 12.8114, -0, -0.1623, 0, 60, 10
0.15, 0.33524408723124, -0.31837465691501, -1.6476, 1.8162, 0.8, 0.33527524860193, -0.31828660876581, -1.6472, 1.8171, 0.6844, -0.0105, 0.0037, 2.7925, 10.5111, 10.5554, 10.5333, -0, 1.7076, 0, 60, 10
0.2, 0.33524408723124, -0.31837465691501, -1.6476, 1.8162, 0.8, 0.33527655990675, -0.31828108936518, -1.6472, 1.8172, 0.5974, -0.0111, 0.0038, 2.7925, 9.3479, 9.3844, 9.3661, -0, -0.0242, 0, 60, 10
0.25, 0.33524408723124, -0.31837465691501, -1.6476, 1.8162, 0.8, 0.33527801426299, -0.31827539115027, -1.6472, 1.8172, 0.4858, -0.0118, 0.004, 2.7925, 9.8774, 9.9165, 9.897, -0, -0.4043, 0, 60, 10
0.3, 0.33524408723124, -0.31837465691501, -1.6476, 1.8162, 0.8, 0.3352793255678, -0.31826940683252, -1.6472, 1.8173, 0.3497, -0.0125, 0.0042, 2.7925, 10.1213, 10.1611, 10.1412, -0, -0.0381, 0, 60, 10
0.35, 0.33524408723124, -0.31837465691501, -1.6476, 1.8162, 0.8, 0.33528139981359, -0.3183812492013, -1.6472, 1.8162, 0.2191, -0.0135, 0.0051, 2.7905, 3.4316, 2.5205, 2.9761, 0.0002, -12.4037, 0, 60, 10
0.4, 0.33524408723124, -0.31837465691501, -1.6476, 1.8162, 0.8, 0.33517762791921, -0.31860963079382, -1.6482, 1.8139, 0.2242, -0.003, -0.0007, 2.7909, 2.653, 0.0904, 1.3717, 0.0007, -32.4743, 0, 60, 10
0.45, 0.33524408723124, -0.31837465691501, -1.6476, 1.8162, 0.8, 0.33511971593037, -0.31892097028917, -1.6488, 1.8108, 0.2702, -0.019, 0.002, 2.7962, 4.6423, 3.4434, 4.0429, 0.0004, -42.0678, 0, 60, 10
