TIMESTAMP, I_RIP_X, I_RIP_Y, S_RIP_X, S_RIP_Y, S_RIP_Z, I_RCP_X, I_RCP_Y, S_RCP_X, S_RCP_Y, S_RCP_Z, S_RCO_A, S_RCO_B, S_RCO_G, S_RC_LRW_V, S_RC_RRW_V, S_RC_RL_V, S_RC_STEER, S_RC_TORQUE, S_RT_STEER, S_RT_MAX_TORQUE, S_RT_VEL
0, 0.81251578930202, -0.22924428795679, 3.1252, 2.7076, 3.9492, 0.81251578930202, -0.22924428795679, 3.1252, 2.7076, 3.9492, -0, 0, 2.3174, 0, 0, 0, 0, 0, 0, 60, 10
0.05, 0.81251578930202, -0.22924428795679, 3.1252, 2.7076, 3.9492, 0.81257186546413, -0.22919219339789, 3.1257, 2.7081, 3.9345, -0.0061, 0.0066, 2.3174, 7.2328, 7.2384, 7.2356, 0, -9.0727, 0, 60, 10
0.1, 0.81251578930202, -0.22924428795679, 3.1252, 2.7076, 3.9492, 0.81257925645489, -0.22918508851068, 3.1258, 2.7081, 3.8962, -0.0071, 0.0075, 2.3174, 12.7797, 12.8427, 12.8112, -0, -0.1628, 0, 60, 10
0.15, 0.81251578930202, -0.22924428795679, 3.1252, 2.7076, 3.9492, 0.81258376257506, -0.22918024860429, 3.1258, 2.7082, 3.8337, -0.0076, 0.0081, 2.3174, 10.5107, 10.5557, 10.5332, -0, 1.7079, 0, 60, 10
0.2, 0.81251578930202, -0.22924428795679, 3.1252, 2.7076, 3.9492, 0.81258752959615, -0.22917598090359, 3.1259, 2.7082, 3.7466, -0.0081, 0.0085, 2.3174, 9.3486, 9.3844, 9.3665, -0, -0.0247, 0, 60, 10
0.25, 0.81251578930202, -0.22924428795679, 3.1252, 2.7076, 3.9492, 0.81259139198487, -0.22917157015146, 3.1259, 2.7083, 3.635, -0.0086, 0.009, 2.3174, 9.8776, 9.9164, 9.897, -0, -0.4039, 0, 60, 10
0.3, 0.81251578930202, -0.22924428795679, 3.1252, 2.7076, 3.9492, 0.81259542126692, -0.22916694482221, 3.1259, 2.7083, 3.4989, -0.0092, 0.0094, 2.3174, 10.1209, 10.1603, 10.1406, -0, -0.0377, 0, 60, 10
0.35, 0.81251578930202, -0.22924428795679, 3.1252, 2.7076, 3.9492, 0.81259930749755, -0.22916243870247, 3.126, 2.7084, 3.3383, -0.0097, 0.0099, 2.3174, 10.0275, 10.067, 10.0473, -0, 0.0694, 0, 60, 10
0.4, 0.81251578930202, -0.22924428795679, 3.1252, 2.7076, 3.9492, 0.81260319372817, -0.2291577418475, 3.126, 2.7084, 3.1531, -0.0103, 0.0104, 2.3174, 9.9835, 10.0244, 10.004, -0, 0.0498, 0, 60, 10
0.45, 0.81251578930202, -0.22924428795679, 3.1252, 2.7076, 3.9492, 0.81260696074926, -0.22915302115063, 3.1261, 2.7085, 2.9434, -0.0108, 0.0108, 2.3174, 9.9793, 10.0202, 9.9998, -0, 0.0385, 0, 60, 10
0.5, 0.81251578930202, -0.22924428795679, 3.1252, 2.7076, 3.9492, 0.81224709102525, -0.22887581133997, 3.1225, 2.7112, 2.7104, -0.0281, -0.0052, 2.3165, 8.315, 7.9111, 8.1131, 0.0004, -1.2839, 0, 60, 10
0.55, 0.81251578930202, -0.22924428795679, 3.1252, 2.7076, 3.9492, 0.81035041974629, -0.22834940595514, 3.1035, 2.7165, 2.6461, -0.065, -0.1372, 2.2865, 2.4878, -0.4648, 1.0115, -0.0028, -19.4887, 0, 60, 10
0.6, 0.81251578930202, -0.22924428795679, 3.1252, 2.7076, 3.9492, 0.80965955284601, -0.22901211550162, 3.0966, 2.7099, 2.6894, -0.0252, -0.0928, 2.2786, 2.8526, 1.9079, 2.3802, 0.0013, -34.2129, 0, 60, 10
0.65, 0.81251578930202, -0.22924428795679, 3.1252, 2.7076, 3.9492, 0.80944538100748, -0.22940190678007, 3.0944, 2.706, 2.733, -0.0299, -0.046, 2.2768, 3.598, 4.6218, 4.1099, 0.0032, -45.8221, 0, 60, 10
0.7, 0.81251578930202, -0.22924428795679, 3.1252, 2.7076, 3.9492, 0.80963711761279, -0.22974530171452, 3.0964, 2.7025, 2.7566, -0.0499, -0.0139, 2.2801, 3.1518, 35.6519, 19.4018, 0.0019, -38.806, 0, 60, 10
0.75, 0.81251578930202, -0.22924428795679, 3.1252, 2.7076, 3.9492, 0.80981726705195, -0.22971433108202, 3.0982, 2.7029, 2.7612, -0.0857, -0.003, 2.2799, 1.284, 53.0424, 27.1632, -0.0007, -1.1967, 0, 60, 10
