TIMESTAMP, I_RIP_X, I_RIP_Y, S_RIP_X, S_RIP_Y, S_RIP_Z, I_RCP_X, I_RCP_Y, S_RCP_X, S_RCP_Y, S_RCP_Z, S_RCO_A, S_RCO_B, S_RCO_G, S_RC_LRW_V, S_RC_RRW_V, S_RC_RL_V, S_RC_STEER, S_RC_TORQUE, S_RT_STEER, S_RT_MAX_TORQUE, S_RT_VEL
0, 0.4167489728908, -0.14898245140543, -0.8325, 3.5102, 1.1547, 0.4167489728908, -0.14898245140543, -0.8325, 3.5102, 1.1547, -0, 0, -2.3382, 0, 0, 0, 0, 0, 0, 400, 100
0.05, 0.4167489728908, -0.14898245140543, -0.8325, 3.5102, 1.1547, 0.41663965776378, -0.14887690329915, -0.8336, 3.5112, 1.1386, -0.0062, -0.0065, -2.3382, 8.5466, 8.532, 8.5393, 0, -400, 0, 400, 100
0.1, 0.4167489728908, -0.14898245140543, -0.8325, 3.5102, 1.1547, 0.41661330650007, -0.14885134477872, -0.8339, 3.5115, 1.1002, -0.0078, -0.0081, -2.3382, 24.7508, 24.7697, 24.7603, 0, -400, 0, 400, 100
0.15, 0.4167489728908, -0.14898245140543, -0.8325, 3.5102, 1.1547, 0.41657891455443, -0.1488167024931, -0.8342, 3.5118, 1.0377, -0.0098, -0.0102, -2.3382, 40.3364, 40.3289, 40.3327, 0, -400, 0, 400, 100
0.2, 0.4167489728908, -0.14898245140543, -0.8325, 3.5102, 1.1547, 0.41678994520177, -0.14886269352473, -0.8321, 3.5114, 0.9516, -0.0149, -0.0094, -2.3383, 38.6564, 33.1328, 35.8946, 0.0001, -400, 0, 400, 100
0.25, 0.4167489728908, -0.14898245140543, -0.8325, 3.5102, 1.1547, 0.41775541711887, -0.14903001600269, -0.8224, 3.5097, 0.867, -0.0181, 0.0016, -2.335, 1.6681, 1.9499, 1.809, 0.0001, -400, 0, 400, 100
0.3, 0.4167489728908, -0.14898245140543, -0.8325, 3.5102, 1.1547, 0.4190387492919, -0.14894089496783, -0.8096, 3.5106, 0.8194, -0.0196, 0.014, -2.3306, 1.2309, 2.0397, 1.6353, 0, -400, 0, 400, 100
0.35, 0.4167489728908, -0.14898245140543, -0.8325, 3.5102, 1.1547, 0.42057313670757, -0.14917852721887, -0.7943, 3.5082, 0.8182, -0.021, 0.0244, -2.3311, 1.7503, 1.9815, 1.8659, 0.0001, -400, 0, 400, 100
0.4, 0.4167489728908, -0.14898245140543, -0.8325, 3.5102, 1.1547, 0.42217093762577, -0.14975333166758, -0.7783, 3.5025, 0.849, -0.0262, 0.0319, -2.3381, 2.4874, 1.9542, 2.2208, 0.0002, -400, 0, 400, 100
0.45, 0.4167489728908, -0.14898245140543, -0.8325, 3.5102, 1.1547, 0.4237724817228, -0.15053160291977, -0.7623, 3.4947, 0.8921, -0.0367, 0.0348, -2.3424, 3.8472, 2.5862, 3.2167, -0, -400, 0, 400, 100
0.5, 0.4167489728908, -0.14898245140543, -0.8325, 3.5102, 1.1547, 0.42528343850792, -0.15162797284693, -0.7472, 3.4837, 0.932, -0.0402, 0.0251, -2.3449, 3.9441, 2.6742, 3.3091, -0.0002, -400, 0, 400, 100
0.55, 0.4167489728908, -0.14898245140543, -0.8325, 3.5102, 1.1547, 0.42680549369906, -0.15309472674318, -0.7319, 3.469, 0.9563, -0.0346, 0.0117, -2.3466, 3.9667, 2.8107, 3.3887, -0.0001, -400, 0, 400, 100
