ID,CSV,HEIGHTMAP
1,evaluation_robot2_11.csv,custom2_robot2.png
2,evaluation_robot2_12.csv,custom2_robot2.png
3,evaluation_robot2_13.csv,custom2_robot2.png
4,evaluation_robot2_14.csv,custom2_robot2.png
5,evaluation_robot2_15.csv,custom2_robot2.png
6,evaluation_robot2_21.csv,custom2_robot2.png
7,evaluation_robot2_22.csv,custom2_robot2.png
8,evaluation_robot2_23.csv,custom2_robot2.png
9,evaluation_robot2_24.csv,custom2_robot2.png
10,evaluation_robot2_25.csv,custom2_robot2.png
11,evaluation_robot2_31.csv,custom2_robot2.png
12,evaluation_robot2_32.csv,custom2_robot2.png
13,evaluation_robot2_33.csv,custom2_robot2.png
14,evaluation_robot2_34.csv,custom2_robot2.png
15,evaluation_robot2_35.csv,custom2_robot2.png
16,evaluation_robot2_41.csv,custom2_robot2.png
17,evaluation_robot2_42.csv,custom2_robot2.png
18,evaluation_robot2_43.csv,custom2_robot2.png
19,evaluation_robot2_44.csv,custom2_robot2.png
20,evaluation_robot2_45.csv,custom2_robot2.png
21,evaluation_robot2_51.csv,custom2_robot2.png
22,evaluation_robot2_52.csv,custom2_robot2.png
23,evaluation_robot2_53.csv,custom2_robot2.png
24,evaluation_robot2_54.csv,custom2_robot2.png
25,evaluation_robot2_55.csv,custom2_robot2.png
26,evaluation_robot2_61.csv,custom2_robot2.png
27,evaluation_robot2_62.csv,custom2_robot2.png
28,evaluation_robot2_63.csv,custom2_robot2.png
29,evaluation_robot2_64.csv,custom2_robot2.png
30,evaluation_robot2_65.csv,custom2_robot2.png
31,evaluation_robot2_71.csv,custom2_robot2.png
32,evaluation_robot2_72.csv,custom2_robot2.png
33,evaluation_robot2_73.csv,custom2_robot2.png
34,evaluation_robot2_74.csv,custom2_robot2.png
35,evaluation_robot2_75.csv,custom2_robot2.png
36,evaluation_robot2_81.csv,custom2_robot2.png
37,evaluation_robot2_82.csv,custom2_robot2.png
38,evaluation_robot2_83.csv,custom2_robot2.png
39,evaluation_robot2_84.csv,custom2_robot2.png
40,evaluation_robot2_85.csv,custom2_robot2.png
41,evaluation_robot2_91.csv,custom2_robot2.png
42,evaluation_robot2_92.csv,custom2_robot2.png
43,evaluation_robot2_93.csv,custom2_robot2.png
44,evaluation_robot2_94.csv,custom2_robot2.png
45,evaluation_robot2_95.csv,custom2_robot2.png
46,evaluation_robot2_101.csv,custom2_robot2.png
47,evaluation_robot2_102.csv,custom2_robot2.png
48,evaluation_robot2_103.csv,custom2_robot2.png
49,evaluation_robot2_104.csv,custom2_robot2.png
50,evaluation_robot2_105.csv,custom2_robot2.png
51,evaluation_robot2_111.csv,custom8_robot2.png
52,evaluation_robot2_112.csv,custom8_robot2.png
53,evaluation_robot2_113.csv,custom8_robot2.png
54,evaluation_robot2_114.csv,custom8_robot2.png
55,evaluation_robot2_115.csv,custom8_robot2.png
56,evaluation_robot2_121.csv,custom8_robot2.png
57,evaluation_robot2_122.csv,custom8_robot2.png
58,evaluation_robot2_123.csv,custom8_robot2.png
59,evaluation_robot2_124.csv,custom8_robot2.png
60,evaluation_robot2_125.csv,custom8_robot2.png
61,evaluation_robot2_131.csv,custom8_robot2.png
62,evaluation_robot2_132.csv,custom8_robot2.png
63,evaluation_robot2_133.csv,custom8_robot2.png
64,evaluation_robot2_134.csv,custom8_robot2.png
65,evaluation_robot2_135.csv,custom8_robot2.png
66,evaluation_robot2_141.csv,custom8_robot2.png
67,evaluation_robot2_142.csv,custom8_robot2.png
68,evaluation_robot2_143.csv,custom8_robot2.png
69,evaluation_robot2_144.csv,custom8_robot2.png
70,evaluation_robot2_145.csv,custom8_robot2.png
71,evaluation_robot2_151.csv,custom8_robot2.png
72,evaluation_robot2_152.csv,custom8_robot2.png
73,evaluation_robot2_153.csv,custom8_robot2.png
74,evaluation_robot2_154.csv,custom8_robot2.png
75,evaluation_robot2_155.csv,custom8_robot2.png
76,evaluation_robot2_161.csv,custom8_robot2.png
77,evaluation_robot2_162.csv,custom8_robot2.png
78,evaluation_robot2_163.csv,custom8_robot2.png
79,evaluation_robot2_164.csv,custom8_robot2.png
80,evaluation_robot2_165.csv,custom8_robot2.png
81,evaluation_robot2_171.csv,custom8_robot2.png
82,evaluation_robot2_172.csv,custom8_robot2.png
83,evaluation_robot2_173.csv,custom8_robot2.png
84,evaluation_robot2_174.csv,custom8_robot2.png
85,evaluation_robot2_175.csv,custom8_robot2.png
86,evaluation_robot2_181.csv,custom8_robot2.png
87,evaluation_robot2_182.csv,custom8_robot2.png
88,evaluation_robot2_183.csv,custom8_robot2.png
89,evaluation_robot2_184.csv,custom8_robot2.png
90,evaluation_robot2_185.csv,custom8_robot2.png
91,evaluation_robot2_191.csv,custom8_robot2.png
92,evaluation_robot2_192.csv,custom8_robot2.png
93,evaluation_robot2_193.csv,custom8_robot2.png
94,evaluation_robot2_194.csv,custom8_robot2.png
95,evaluation_robot2_195.csv,custom8_robot2.png
96,evaluation_robot2_201.csv,custom8_robot2.png
97,evaluation_robot2_202.csv,custom8_robot2.png
98,evaluation_robot2_203.csv,custom8_robot2.png
99,evaluation_robot2_204.csv,custom8_robot2.png
100,evaluation_robot2_205.csv,custom8_robot2.png
