ID,CSV,HEIGHTMAP
1,training_robot2_11.csv,custom1_robot2.png
2,training_robot2_12.csv,custom1_robot2.png
3,training_robot2_13.csv,custom1_robot2.png
4,training_robot2_14.csv,custom1_robot2.png
5,training_robot2_15.csv,custom1_robot2.png
6,training_robot2_21.csv,custom1_robot2.png
7,training_robot2_22.csv,custom1_robot2.png
8,training_robot2_23.csv,custom1_robot2.png
9,training_robot2_24.csv,custom1_robot2.png
10,training_robot2_25.csv,custom1_robot2.png
11,training_robot2_31.csv,custom1_robot2.png
12,training_robot2_32.csv,custom1_robot2.png
13,training_robot2_33.csv,custom1_robot2.png
14,training_robot2_34.csv,custom1_robot2.png
15,training_robot2_35.csv,custom1_robot2.png
16,training_robot2_41.csv,custom1_robot2.png
17,training_robot2_42.csv,custom1_robot2.png
18,training_robot2_43.csv,custom1_robot2.png
19,training_robot2_44.csv,custom1_robot2.png
20,training_robot2_45.csv,custom1_robot2.png
21,training_robot2_51.csv,custom1_robot2.png
22,training_robot2_52.csv,custom1_robot2.png
23,training_robot2_53.csv,custom1_robot2.png
24,training_robot2_54.csv,custom1_robot2.png
25,training_robot2_55.csv,custom1_robot2.png
26,training_robot2_61.csv,custom3_robot2.png
27,training_robot2_62.csv,custom3_robot2.png
28,training_robot2_63.csv,custom3_robot2.png
29,training_robot2_64.csv,custom3_robot2.png
30,training_robot2_65.csv,custom3_robot2.png
31,training_robot2_71.csv,custom3_robot2.png
32,training_robot2_72.csv,custom3_robot2.png
33,training_robot2_73.csv,custom3_robot2.png
34,training_robot2_74.csv,custom3_robot2.png
35,training_robot2_75.csv,custom3_robot2.png
36,training_robot2_81.csv,custom3_robot2.png
37,training_robot2_82.csv,custom3_robot2.png
38,training_robot2_83.csv,custom3_robot2.png
39,training_robot2_84.csv,custom3_robot2.png
40,training_robot2_85.csv,custom3_robot2.png
41,training_robot2_91.csv,custom3_robot2.png
42,training_robot2_92.csv,custom3_robot2.png
43,training_robot2_93.csv,custom3_robot2.png
44,training_robot2_94.csv,custom3_robot2.png
45,training_robot2_95.csv,custom3_robot2.png
46,training_robot2_101.csv,custom3_robot2.png
47,training_robot2_102.csv,custom3_robot2.png
48,training_robot2_103.csv,custom3_robot2.png
49,training_robot2_104.csv,custom3_robot2.png
50,training_robot2_105.csv,custom3_robot2.png
51,training_robot2_111.csv,custom4_robot2.png
52,training_robot2_112.csv,custom4_robot2.png
53,training_robot2_113.csv,custom4_robot2.png
54,training_robot2_114.csv,custom4_robot2.png
55,training_robot2_115.csv,custom4_robot2.png
56,training_robot2_121.csv,custom4_robot2.png
57,training_robot2_122.csv,custom4_robot2.png
58,training_robot2_123.csv,custom4_robot2.png
59,training_robot2_124.csv,custom4_robot2.png
60,training_robot2_125.csv,custom4_robot2.png
61,training_robot2_131.csv,custom4_robot2.png
62,training_robot2_132.csv,custom4_robot2.png
63,training_robot2_133.csv,custom4_robot2.png
64,training_robot2_134.csv,custom4_robot2.png
65,training_robot2_135.csv,custom4_robot2.png
66,training_robot2_141.csv,custom4_robot2.png
67,training_robot2_142.csv,custom4_robot2.png
