TIMESTAMP, I_RIP_X, I_RIP_Y, S_RIP_X, S_RIP_Y, S_RIP_Z, I_RCP_X, I_RCP_Y, S_RCP_X, S_RCP_Y, S_RCP_Z, S_RCO_A, S_RCO_B, S_RCO_G, S_RC_LRW_V, S_RC_RRW_V, S_RC_RL_V, S_RC_STEER, S_RC_TORQUE, S_RT_STEER, S_RT_MAX_TORQUE, S_RT_VEL
0, 0.34794837779197, -0.65882230618176, -1.5205, -1.5882, 0.9945, 0.34794837779197, -0.65882230618176, -1.5205, -1.5882, 0.9945, -0, 0, 0.1146, 0, 0, 0, 0, 0, 0, 60, 10
0.05, 0.34794837779197, -0.65882230618176, -1.5205, -1.5882, 0.9945, 0.34795725890183, -0.658898314177, -1.5204, -1.589, 0.9798, 0.0089, 0.0011, 0.1146, 7.2327, 7.239, 7.2359, 0, -9.0732, 0, 60, 10
0.1, 0.34794837779197, -0.65882230618176, -1.5205, -1.5882, 0.9945, 0.34795861789045, -0.65890851851262, -1.5204, -1.5891, 0.9415, 0.0102, 0.0012, 0.1146, 12.7791, 12.8432, 12.8112, -0, -0.1619, 0, 60, 10
0.15, 0.34794837779197, -0.65882230618176, -1.5205, -1.5882, 0.9945, 0.34795979806478, -0.65891497966905, -1.5204, -1.5891, 0.879, 0.011, 0.0014, 0.1146, 10.51, 10.5562, 10.5331, -0, 1.7078, 0, 60, 10
0.2, 0.34794837779197, -0.65882230618176, -1.5205, -1.5882, 0.9945, 0.3479609305553, -0.65892043946545, -1.5204, -1.5892, 0.7919, 0.0117, 0.0015, 0.1146, 9.3476, 9.3844, 9.366, -0, -0.0249, 0, 60, 10
0.25, 0.34794837779197, -0.65882230618176, -1.5205, -1.5882, 0.9945, 0.349684807623, -0.65843411227382, -1.5031, -1.5843, 0.6901, -0.0255, 0.1864, 0.1117, -0.6024, 11.9565, 5.677, -0.0001, -7.7139, 0, 60, 10
0.3, 0.34794837779197, -0.65882230618176, -1.5205, -1.5882, 0.9945, 0.35056891316864, -0.65677533552952, -1.4943, -1.5678, 0.6668, -0.149, 0.2843, 0.1256, 2.1013, 0.8487, 1.475, -0.0001, -26.0324, 0, 60, 10
0.35, 0.34794837779197, -0.65882230618176, -1.5205, -1.5882, 0.9945, 0.35048457242737, -0.65543735162586, -1.4952, -1.5544, 0.6746, -0.1628, 0.2872, 0.134, 3.002, 5.891, 4.4465, 0.0003, -37.503, 0, 60, 10
0.4, 0.34794837779197, -0.65882230618176, -1.5205, -1.5882, 0.9945, 0.35009215850213, -0.6542501916174, -1.4991, -1.5425, 0.6886, -0.1121, 0.2736, 0.1265, 6.2213, 8.6989, 7.4601, 0.0002, -42.7658, 0, 60, 10
0.45, 0.34794837779197, -0.65882230618176, -1.5205, -1.5882, 0.9945, 0.34963954376511, -0.65327216088442, -1.5036, -1.5327, 0.6988, -0.048, 0.2568, 0.1118, 6.4298, 6.1919, 6.3109, -0.0001, -48.3762, 0, 60, 10
0.5, 0.34794837779197, -0.65882230618176, -1.5205, -1.5882, 0.9945, 0.34938134784778, -0.65206088478838, -1.5062, -1.5206, 0.7012, -0.0147, 0.2511, 0.099, 6.0314, 4.7729, 5.4022, 0.0001, -52.5197, 0, 60, 10
