TIMESTAMP, I_RIP_X, I_RIP_Y, S_RIP_X, S_RIP_Y, S_RIP_Z, I_RCP_X, I_RCP_Y, S_RCP_X, S_RCP_Y, S_RCP_Z, S_RCO_A, S_RCO_B, S_RCO_G, S_RC_LRW_V, S_RC_RRW_V, S_RC_RL_V, S_RC_STEER, S_RC_TORQUE, S_RT_STEER, S_RT_MAX_TORQUE, S_RT_VEL
0, 0.29060493107783, -0.70819782390179, -2.0939, -2.082, 1.2055, 0.29060493107783, -0.70819782390179, -2.0939, -2.082, 1.2055, -0, 0, -0.5396, 0, 0, 0, 0, 0, 0, 500, 200
0.05, 0.29060493107783, -0.70819782390179, -2.0939, -2.082, 1.2055, 0.29052548985575, -0.70833040872652, -2.0947, -2.0833, 1.1894, 0.0078, -0.0047, -0.5396, 10.6351, 10.6155, 10.6253, 0, -500, 0, 500, 200
0.1, 0.29060493107783, -0.70819782390179, -2.0939, -2.082, 1.2055, 0.29050276852182, -0.70836741136057, -2.095, -2.0837, 1.151, 0.0101, -0.0061, -0.5396, 30.8677, 30.8834, 30.8756, 0, -500, 0, 500, 200
0.15, 0.29060493107783, -0.70819782390179, -2.0939, -2.082, 1.2055, 0.29046986669515, -0.70842014965086, -2.0953, -2.0842, 1.0885, 0.0132, -0.008, -0.5396, 49.9241, 49.8669, 49.8955, 0.0001, -500, 0, 500, 200
0.2, 0.29060493107783, -0.70819782390179, -2.0939, -2.082, 1.2055, 0.29012346768087, -0.70781766475232, -2.0988, -2.0782, 1.0127, 0.012, -0.0268, -0.5398, 20.4058, 8.4578, 14.4318, 0.0002, -500, 0, 500, 200
0.25, 0.29060493107783, -0.70819782390179, -2.0939, -2.082, 1.2055, 0.2895228424508, -0.70721165125208, -2.1048, -2.0721, 0.9566, 0.0177, -0.0459, -0.5424, 1.3669, 1.7108, 1.5388, 0.0001, -500, 0, 500, 200
0.3, 0.29060493107783, -0.70819782390179, -2.0939, -2.082, 1.2055, 0.28886118194806, -0.70676018096958, -2.1114, -2.0676, 0.9361, 0.0225, -0.0615, -0.5442, 0.6798, 1.7769, 1.2283, 0, -500, 0, 500, 200
0.35, 0.29060493107783, -0.70819782390179, -2.0939, -2.082, 1.2055, 0.28830182705274, -0.70650011348746, -2.117, -2.065, 0.9489, 0.0251, -0.07, -0.5453, 1.4007, 0.5493, 0.975, 0, -500, 0, 500, 200
0.4, 0.29060493107783, -0.70819782390179, -2.0939, -2.082, 1.2055, 0.2879458674352, -0.70635961315081, -2.1205, -2.0636, 0.9812, 0.0263, -0.0731, -0.5455, 1.19, 0.4254, 0.8077, -0, -500, 0, 500, 200
0.45, 0.29060493107783, -0.70819782390179, -2.0939, -2.082, 1.2055, 0.28784835405036, -0.70623871085875, -2.1215, -2.0624, 1.0183, 0.0286, -0.0689, -0.5433, 1.1459, 1.0695, 1.1077, -0, -500, 0, 500, 200
